user_id,age,gender,occupation,zip_code,movie_id,title,user_id,movie_id_[0],rating,timestamp
308,520,4,887738508,16509,1,"Toy Story (1995)",308,1,4,887736532
280,629,4,891701852,16125,1,"Toy Story (1995)",280,1,4,891700426
5,31,M,marketing,75240,1,"Toy Story (1995)",5,1,4,875635748
109,162,2,880578358,12065,1,"Toy Story (1995)",109,1,4,880563619
181,1375,M,student,49931,1,"Toy Story (1995)",181,1,3,878962392
95,1018,M,programmer,30220,1,"Toy Story (1995)",95,1,5,879197329
268,23,M,student,55105,1,"Toy Story (1995)",268,1,3,875742341
189,29,F,librarian,22903,1,"Toy Story (1995)",189,1,5,893264174
145,477,M,entertainment,94533,1,"Toy Story (1995)",145,1,3,882181396
158,435,M,engineer,97006,1,"Toy Story (1995)",158,1,4,880132443
232,31,F,educator,68767,1,"Toy Story (1995)",232,1,4,880062302
150,410,M,student,60626,1,"Toy Story (1995)",150,1,4,878746441
117,27,M,student,53706,1,"Toy Story (1995)",117,1,4,880126083
49,30,M,engineer,95129,1,"Toy Story (1995)",49,1,2,888068651
223,432,2,885852443,47906,1,"Toy Story (1995)",223,1,4,891549324
56,1092,3,892911573,95938,1,"Toy Story (1995)",56,1,4,892683248
177,470,M,retired,61455,1,"Toy Story (1995)",177,1,3,880130699
194,23,F,educator,20784,1,"Toy Story (1995)",194,1,4,879539127
250,69,5,878092059,30040,1,"Toy Story (1995)",250,1,4,883263374
213,841,4,878871010,00000,1,"Toy Story (1995)",213,1,2,878870719
350,32,F,librarian,55409,1,"Toy Story (1995)",350,1,4,882345734
348,1028,M,writer,32067,1,"Toy Story (1995)",348,1,4,886523078
106,196,5,881450578,95628,1,"Toy Story (1995)",106,1,4,881449487
234,403,1,892335674,93550,1,"Toy Story (1995)",234,1,3,891227689
43,40,F,librarian,02143,1,"Toy Story (1995)",43,1,5,875975579
20,568,4,879669291,55104,1,"Toy Story (1995)",20,1,3,879667963
246,55,4,student,71701,1,"Toy Story (1995)",246,1,4,884920918
94,55,4,student,78264,1,"Toy Story (1995)",94,1,4,885870323
279,1312,F,other,06260,1,"Toy Story (1995)",279,1,3,875295812
38,550,2,student,02176,1,"Toy Story (1995)",38,1,5,892430636
128,284,M,educator,91903,1,"Toy Story (1995)",128,1,4,879966919
203,26,M,executive,84601,1,"Toy Story (1995)",203,1,3,880434384
157,27,F,other,48103,1,"Toy Story (1995)",157,1,5,874813703
311,642,4,884365823,11217,1,"Toy Story (1995)",311,1,4,884963202
125,384,3,892838591,29379,1,"Toy Story (1995)",125,1,4,879454699
286,824,1,876522200,02136,1,"Toy Story (1995)",286,1,4,876521699
83,471,3,891182000,61755,1,"Toy Story (1995)",83,1,4,880306903
301,2,F,educator,85710,1,"Toy Story (1995)",301,1,4,882074345
345,325,1,engineer,03052,1,"Toy Story (1995)",345,1,3,884990938
18,18,M,student,97520,1,"Toy Story (1995)",18,1,5,880130802
64,175,5,889739415,63129,1,"Toy Story (1995)",64,1,4,879366214
45,1060,M,administrator,M7A1A,1,"Toy Story (1995)",45,1,5,881013176
204,304,3,892389328,62522,1,"Toy Story (1995)",204,1,2,892513979
271,430,5,librarian,97403,1,"Toy Story (1995)",271,1,3,886106038
41,209,M,programmer,91919,1,"Toy Story (1995)",41,1,4,890692860
274,56,M,other,22306,1,"Toy Story (1995)",274,1,4,878945466
222,81,1,878183565,30329,1,"Toy Story (1995)",222,1,4,877563227
15,933,1,technician,43537,1,"Toy Story (1995)",15,1,1,879455635
5,31,M,marketing,75240,2,"GoldenEye (1995)",5,2,3,875636053
268,23,M,student,55105,2,"GoldenEye (1995)",268,2,2,875744173
276,576,3,874792547,21218,2,"GoldenEye (1995)",276,2,4,874792436
217,391,4,889070287,62901,2,"GoldenEye (1995)",217,2,3,889069782
87,50,M,educator,84408,2,"GoldenEye (1995)",87,2,4,879876074
250,69,5,878092059,30040,2,"GoldenEye (1995)",250,2,4,878090414
201,43,F,administrator,16803,2,"GoldenEye (1995)",201,2,2,884112487
64,175,5,889739415,63129,2,"GoldenEye (1995)",64,2,3,889737609
13,783,3,886304188,V3N4P,2,"GoldenEye (1995)",13,2,3,882397650
95,1018,M,programmer,30220,2,"GoldenEye (1995)",95,2,2,888955909
213,841,4,878871010,00000,2,"GoldenEye (1995)",213,2,4,878955914
373,651,4,student,53703,2,"GoldenEye (1995)",373,2,4,877100416
293,280,2,888905198,80525,2,"GoldenEye (1995)",293,2,3,888907101
193,210,M,executive,23112,2,"GoldenEye (1995)",193,2,3,890860198
363,37,2,891498510,32250,2,"GoldenEye (1995)",363,2,4,891495809
256,368,F,other,54467,2,"GoldenEye (1995)",256,2,5,882164480
200,31,F,educator,43512,2,"GoldenEye (1995)",200,2,4,884130046
207,875,M,administrator,97212,2,"GoldenEye (1995)",207,2,3,877822770
393,303,4,artist,94533,2,"GoldenEye (1995)",393,2,4,887746206
222,81,1,878183565,30329,2,"GoldenEye (1995)",222,2,3,878183837
399,763,M,engineer,17110,2,"GoldenEye (1995)",399,2,3,882512708
181,1375,M,student,49931,3,"Four Rooms (1995)",181,3,2,878963441
81,26,M,programmer,55414,3,"Four Rooms (1995)",81,3,4,876592546
160,7,F,administrator,58202,3,"Four Rooms (1995)",160,3,3,876770124
130,30,M,programmer,06355,3,"Four Rooms (1995)",130,3,5,876250897
49,30,M,engineer,95129,3,"Four Rooms (1995)",49,3,3,888068877
