user_id,age,gender,occupation,zip_code
1,190,F,other,37212
2,19,M,lawyer,22202
5,31,M,marketing,75240
6,189,M,student,27510
18,18,M,student,97520
25,114,M,executive,66315
26,240,M,administrator,05201
29,874,F,writer,92115
41,209,M,programmer,91919
43,40,F,librarian,02143
45,1060,M,administrator,M7A1A
49,30,M,engineer,95129
59,203,M,engineer,01810
62,19,M,student,44106
73,34,M,student,60615
76,32,M,entertainment,80525
79,53,F,other,94043
81,26,M,programmer,55414
87,50,M,educator,84408
89,47,M,administrator,89503
93,44,M,scientist,53711
95,1018,M,programmer,30220
100,50,F,healthcare,60657
110,13,M,other,48118
113,678,F,artist,90008
117,27,M,student,53706
118,421,M,educator,14534
119,40,F,writer,81648
122,33,M,other,80919
128,284,M,educator,91903
130,30,M,programmer,06355
133,304,M,educator,43202
136,515,M,other,02110
145,477,M,entertainment,94533
150,410,M,student,60626
152,483,M,programmer,53066
155,30,M,other,12345
157,27,F,other,48103
158,435,M,engineer,97006
160,7,F,administrator,58202
165,21,F,student,54494
166,18,F,student,63119
167,568,F,other,80526
174,56,M,programmer,55337
177,470,M,retired,61455
181,1375,M,student,49931
183,257,M,student,14216
184,15,F,student,25652
185,38,F,entertainment,90814
186,30,M,marketing,97124
189,29,F,librarian,22903
191,25,M,scientist,28480
192,30,M,student,80027
193,210,M,executive,23112
194,23,F,educator,20784
196,428,M,writer,94583
198,228,M,educator,29206
200,31,F,educator,43512
201,43,F,administrator,16803
203,26,M,executive,84601
207,875,M,administrator,97212
210,88,M,administrator,06779
214,45,M,administrator,12550
219,32,M,other,55116
226,40,F,librarian,30030
227,25,M,none,60115
229,25,M,other,14216
230,27,M,programmer,75013
231,30,M,programmer,75230
232,31,F,educator,68767
235,24,M,marketing,92629
239,954,M,programmer,75006
242,1357,F,administrator,03755
243,16,M,doctor,53211
244,30,M,administrator,17870
249,28,M,engineer,22932
252,25,M,student,95823
256,368,F,other,54467
260,313,M,engineer,29631
267,20,M,student,87501
268,23,M,student,55105
270,36,F,marketing,07039
274,56,M,other,22306
277,57,M,engineer,70808
279,1312,F,other,06260
282,32,M,programmer,67401
292,408,M,administrator,85202
296,268,F,none,39042
297,30,F,administrator,17345
301,2,F,educator,85710
305,29,M,engineer,03261
306,26,M,other,49512
307,39,M,educator,61820
313,33,F,educator,68767
317,245,F,artist,48197
318,138,M,programmer,10021
320,27,M,programmer,52246
323,17,F,student,61073
325,197,M,salesman,31211
326,26,M,administrator,61801
327,425,F,librarian,59717
330,1044,M,executive,55369
332,43,F,writer,53711
334,870,M,writer,55369
339,182,M,librarian,12180
347,28,F,other,06405
348,1028,M,writer,32067
350,32,F,librarian,55409
351,40,M,other,44133
354,1241,M,student,61801
356,892,M,retired,37771
359,23,M,entertainment,07029
367,452,M,student,55454
378,1232,F,librarian,20854
380,55,M,technician,75094
384,21,M,student,91711
385,19,M,student,22904
387,444,F,librarian,11701
394,57,M,administrator,91344
395,365,M,entertainment,20755
396,106,M,engineer,55337
397,28,F,student,78741
398,38,F,programmer,55105
399,763,M,engineer,17110
402,235,M,programmer,08610
406,25,M,writer,40206
407,117,M,retired,95076
411,196,M,other,94612
412,25,M,educator,15222
413,628,M,educator,26506
416,1503,F,student,76111
419,50,F,educator,98027
420,17,M,student,27514
423,258,M,other,97330
428,35,M,salesman,63304
429,24,M,student,41850
431,748,M,programmer,32712
433,173,M,student,97229
439,125,M,scientist,19807
446,38,M,engineer,30078
449,971,F,student,20001
474,51,M,884364845,93711
603,21,M,programmer,47905
670,30,M,technician,21114
